AllFours.go	*AllFours.UnmarshalJSON	map[string]int{…}	unreviewed	
Anaconda.go	AnacondaEval	counts	independent	収集後に枚数とランクで決定的な降順ソートを行っているため順序に依存しない。
Anaconda.go	anacondaStraight	uniq	independent	集めたスライスを直後に決定的な降順ソートで並び替えているため順序に影響されない。
Baloot.go	*Baloot.UnmarshalJSON	map[string]int{…}	unreviewed	
BarbuCPU.go	*Barbu.longestSuitLen	counts	independent	最大枚数（値そのもの）を求めているだけであり、タイがあっても返される枚数は変わらない。
BaseballPoker.go	*BaseballPoker.finishHand	won	independent	配列の各要素に対して独立に値を設定しているため、設定する順序が結果に影響しない。
Bauernschnapsen.go	*Bauernschnapsen.pickDefaultTrump	counts	unreviewed	
Bhabhi.go	*Bhabhi.UnmarshalJSON	map[string]int{…}	unreviewed	
Bhabhi.go	*Bhabhi.UnmarshalJSON	map[string]int{…} #2	unreviewed	
BidEuchre.go	*BidEuchre.UnmarshalJSON	map[string]int{…}	unreviewed	
BidEuchre.go	*BidEuchre.UnmarshalJSON	map[string]int{…} #2	unreviewed	
BigTwoEval.go	bigTwoClassify5Cards	freq	independent	枚数のスライスを作った後に降順ソートしてから使用するため順序に依存しない。
BigTwoEval.go	bigTwoFourOfAKindStrength	freq	independent	フォーカードにおいて4枚組となるランクは1つしか存在せず、走査順によらず常に同じランクが選ばれる。
BigTwoEval.go	bigTwoFullHouseStrength	freq	independent	フルハウスにおいて3枚組となるランクは1つしか存在せず、最初に見つけてbreakしても結果は常に同じ。
Binokel.go	BinokelMeldTable	binokelMeldPoints	independent	要素をスライスに集めた後、点数と役の種別で決定的にソートしているため表示順は変わらない。
BlackJackVariant.go	spanishSuitBonus	suits	independent	要素数が1つであることが事前に len(suits) == 1 で保証されているため反復順序の揺れは起きない。
Bolivia.go	*Bolivia.PlayerMeld	allIndices	independent	削除対象のインデックスを集めて降順ソートしてから処理するため順序に影響されない。
Boston.go	*Boston.UnmarshalJSON	map[string]int{…}	unreviewed	
Boston.go	*Boston.UnmarshalJSON	map[string]int{…} #2	unreviewed	
Botifarra.go	botifarraValidateWire	map[string]int{…}	unreviewed	
BotifarraConfig.go	botifarraValidateDeckPoints	botifarraCardPoints	independent	マップの値の合計を計算しているだけであり、加算順序が変わっても最終的な合計値は変わらない。
Canasta.go	*Canasta.PlayerMeld	allIndices	independent	削除するインデックスを降順ソートしてから処理するため処理順序の影響を受けない。
CaribbeanDraw.go	caribbeanDrawPairValue	freq	independent	条件を満たす最大のランク（キー）を求めており、キーは一意であるため常に同じ最大値が得られる。
Carioca.go	*Carioca.applyContractMeld	allSeen	independent	集めたインデックスを降順ソートしてからカードの削除処理に使うため順序に依存しない。
Carioca.go	cariocaScoreContractProgress	byRank	independent	各ランクでのセット数やペア数を単純に合計しているだけであり加算順序は結果に影響しない。
Carioca.go	cariocaScoreContractProgress	bySuit	independent	各スートの最長ラン判定から得られた結果を合計しているだけであり合算順序によらず同じになる。
CasinoHoldem.go	casinoHoldemDealerQualifies	counts	independent	条件を満たすペアが存在するかどうかの真偽判定のみであり、どれが先に見つかっても結果は同じ。
Cassino.go	uniqueMaxIndex	m	independent	一意な最大値を持つキーを厳密に判定する論理であり、同点タイの考慮も含めて走査順によらず正しい結果になる。
CirullaEval.go	CirullaPrimiera	best	independent	スートごとのポイントを合計しているだけであり、加算順序は最終的な合計値に影響しない。
ColourWhist.go	colourWhistValidateWire	map[string]int{…}	unreviewed	
ColourWhist.go	colourWhistValidateWire	map[string]int{…} #2	unreviewed	
Conquian.go	*Conquian.PlayerMeldWithTargets	seen	independent	削除対象のインデックスを集め、降順にソートしてから処理するため順序に依存しない。
ContractRummy.go	*ContractRummy.applyContractMeld	allSeen	independent	インデックスを収集した後に降順ソートを行ってから削除処理を行うため順序に依存しない。
ContractRummy.go	findExtraMeld	byVal	independent	マップから値を取り出した直後に sort.Ints で昇順にソートして利用するため順序の影響を受けない。
ContractRummy.go	findRunCandidates	byVal	independent	マップから集めた値のスライスを直後に sort.Ints で昇順ソートしてから使用するため順序に影響されない。
ContractRummy.go	scoreContractProgress	byRank	independent	ランクごとのセット数を計算して単純に合計しているため加算順序によらず結果は同じ。 / 条件を満たすペアの数を数え上げているだけであり走査順に依存しない。
ContractRummy.go	scoreContractProgress	byRank #2	unreviewed	
ContractRummy.go	scoreContractProgress	bySuit	independent	各スートで条件を満たすランの数を数え上げているだけであり走査順によらず結果は同じになる。
CostlyColoursEval.go	CostlyColourCombo	suits	independent	スートごとの枚数の最大値（数値自体）を求めているだけであり、タイがあっても最大値は変わらない。
CostlyColoursEval.go	CostlyRankCombo	counts	independent	役の枚数（値そのもの）と得点を求めているため、同点の役が複数あっても返される結果は変わらない。
CrazyFourPokerConfig.go	CrazyFourPokerQueensUpPayout	crazyFourPokerQueensUpPayouts	independent	配当表の行を集めた後、倍率と役の強さで決定的なソートを行っているため順序に影響されない。
CrazyFourPokerConfig.go	CrazyFourPokerSuperBonusPayout	crazyFourPokerSuperBonusPayouts	independent	集めた配当表を倍率と役の強さで決定的にソートしているため走査順によらず常に同じになる。
DoubleAttackBlackjack.go	doubleAttackValidate	map[string]int{…}	unreviewed	
DoudizhuCPU.go	*Doudizhu.buildFrequency	freq	independent	直後に強度（キーは一意）でソートしているため、キーの順序は決定的に定まり依存しない。
DoudizhuCPU.go	*Doudizhu.handQuality	freq	independent	全要素を走査してスコアを加算しているだけであり、加算の順序によらず合計値は同じになる。
DoudizhuEval.go	doudizhuRankCounts	freq	independent	直後に count と strength を使ってソートしており、結果が決定的に定まるため順序に依存しない。
Dramaha.go	*Dramaha.evalPreFlopStrength	suitCount	independent	条件に合致するすべての要素についてスコアを加減算しているだけであり、最終的なスコアは順序に依存しない。
Estimation.go	*Estimation.UnmarshalJSON	map[string]int{…}	unreviewed	
Estimation_testhelpers.go	*Estimation.SetBidsForTest	bids	independent	各プレイヤーごとの独立した状態を配列のインデックス経由で更新しており、副作用が競合しないため順序に依存しない。
Faro.go	*Faro.GetBetRanks	f.bets	independent	マップからスライスにキーを集めた直後に sort.Ints で昇順にソートしているため、順序は決定的に定まる。
Faro.go	*Faro.PlayerClearAll	f.bets	independent	全ベットの返金（加算）と削除を行っており、加算は可換で全削除も順序に依存しない。
Faro.go	*Faro.UnmarshalJSON	j.Bets	unreviewed	
